Label,Id,timeset,known,blockriccimaxmod,blockriccifinal,Degree,Weighted.Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Symbol,Full.Name,Gene_Name,Description,Gene_Family,AHD.2.0.hormone.annotations,GO.annotations,SideInfo_Update,SideInfo_Label,NodeAnno_Update,Plant.hormone.signal.transduction,Brassinosteroid.biosynthesis,Plant.pathogen.interaction,MAPK.signaling.pathway,Phosphatidylinositol.signaling.system,Basal.transcription.factors,Mismatch.repair,DNA.replication,Nucleotide.excision.repair,RNA.polymerase,Spliceosome,RNA.transport,RNA.degradation,Ribosome,Endocytosis,Protein.processing.in.endoplasmic.reticulum,Ubiquitin.mediated.proteolysis,Fructose.and.mannose.metabolism,Amino.sugar.and.nucleotide.sugar.metabolism,Biosynthesis.of.unsaturated.fatty.acids,alpha.Linolenic.acid.metabolism,Fatty.acid.degradation,Valine..leucine.and.isoleucine.degradation,Peroxisome,Cysteine.and.methionine.metabolism,Pyrimidine.metabolism,Purine.metabolism,Circadian.rhythm,Citrate.cycle,Pyruvate.metabolism,Glycolysis.Gluconeogenesis,Abscisic_acid,Auxin,Brassinosteroid,Cytokinin,Ethylene,Gibberellin,Jasmonic_acid,Salicylic_acid,Transcription_factor,Transporter,Stress,Abiotic_biotic_stimulus
AT1G01010,270,NA,0,11,150,9,9,11,0.19826,0.217176,56.821795,0.022333,0.022333,3,0.000538,0,0.027778,1,0.054851,NAC DOMAIN CONTAINING PROTEIN 1 (NAC001),NAC DOMAIN CONTAINING PROTEIN 1 (ANAC001); (NTL10);NAC DOMAIN CONTAINING PROTEIN 1 (NAC001),NA,NAC domain containing protein 1;(source:Araport11),NA,NA,NA,Transcription_factor,Transcription_factor,Transcription_factor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01050,181,NA,0,39,76,3,3,10,0.237849,0.252586,266.435272,0.00017,0.00017,73,0.000243,0,0.333333,1,0.012127,PYROPHOSPHORYLASE 1 (PPa1),PYROPHOSPHORYLASE 1 (PPa1);PYROPHOSPHORYLASE 1 (AtPPa1),NA,Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01090,1847,NA,0,184,444,1,1,2,0.666667,0.75,0,0,0,48,0.000292,39,0,0,0.000553,PYRUVATE DEHYDROGENASE E1 ALPHA (PDH-E1 ALPHA),PYRUVATE DEHYDROGENASE E1 ALPHA (PDH-E1 ALPHA),NA,pyruvate dehydrogenase E1 alpha subunit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01100,1299,NA,0,185,463,2,2,14,0.132738,0.137999,4782,1.00E-06,1.00E-06,19,0.000382,0,0,0,0.001245,60S ACIDIC RIBOSOMAL PROTEIN P1-1 (RPP1A),60S ACIDIC RIBOSOMAL PROTEIN P1-1 (RPP1A);RPP1 CO-ORTHOLOGOUS GENE 1 (RPP1.1),NA,Co-orthologous gene of large ribosomal subunit protein RPP1.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01140,666,NA,0,3,306,15,15,10,0.260448,0.284168,22771.81641,0.000349,0.000349,73,0.001047,0,0.009524,1,0.045527,CBL-INTERACTING PROTEIN KINASE 9 (CIPK9),PROTEIN KINASE 6 (PKS6);CBL-INTERACTING PROTEIN KINASE 9 (CIPK9),AtCIPK9,Encodes a CBL-interacting protein kinase with similarity to SOS2,CBL-interacting serione-threonine Protein Kinases (AtCIPKs) ,,,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01160,2053,NA,0,16,576,2,2,10,0.208577,0.218567,2392,1.50E-05,1.50E-05,73,0.000263,0,0,0,0.003249,GRF1-INTERACTING FACTOR 2 (GIF2),GRF1-INTERACTING FACTOR 2 (GIF2),NA,Arabidopsis thaliana GRF1-interacting factor 2 (GIF2) mRNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01200,2575,NA,0,16,33,1,1,11,0.190556,0.199765,0,0.000275,0.000275,62,0.000113,0,0,0,0.002074,RAB GTPASE HOMOLOG A3 (RABA3),RAB GTPASE HOMOLOG A3 (ATRABA3);RAB GTPASE HOMOLOG A3 (RABA3);ARABIDOPSIS RAB GTPASE HOMOLOG A3 (ATRAB-A3),NA,RAB GTPase homolog A3;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01210,89,NA,0,33,57,2,2,10,0.240092,0.258691,729.954498,0.000102,0.000102,44,0.000195,0,0,0,0.018507,,,NA,"DNA-directed RNA polymerase, subunit M, archaeal;(source:Araport11)",NA,,,RNA polymerase,RNA polymerase,RNA polymerase,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01230,922,NA,0,11,15,5,5,10,0.229039,0.261531,1001.953406,0.058528,0.058528,3,0.000336,0,0.2,2,0.145328, (ATORM1),OROSOMUCOID-LIKE 1 (ORM1); (ATORM1),NA,ORM1 is an ER localized orosomucoid-like protein involved in sphingolipid homeostasis.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01240,688,NA,0,11,213,9,9,9,0.241206,0.258536,6210.989522,0.010585,0.010585,3,0.000587,0,0,0,0.03348,,,NA,transmembrane protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01260,836,NA,0,35,67,5,5,10,0.232195,0.24746,3095.491233,5.30E-05,5.30E-05,108,0.000434,0,0.1,1,0.010246,JASMONATE ASSOCIATED MYC2 LIKE 2 (JAM2), (BHLH13);JASMONATE ASSOCIATED MYC2 LIKE 2 (JAM2); (BHLH013),NA,"bHLH13 interacts with JAZ proteins, and functions redundantly with bHLH3, bHLH14 and bHLH17 to negatively regulate jasmonate responses.",NA,,,Transcription_factor,Transcription_factor,Transcription_factor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0
AT1G01440,1262,NA,0,18,223,19,19,9,0.271654,0.296973,23380.0902,0.00042,0.00042,108,0.001295,0,0.070175,12,0.06397,,,NA,hypothetical protein (DUF3133);(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01470,418,NA,0,20,32,1,1,10,0.233168,0.250122,0,8.90E-05,8.90E-05,2,0.000132,0,0,0,0.014831,LATE EMBRYOGENESIS ABUNDANT 14 (LEA14), (LEA1);LIGHT STRESS-REGULATED 3 (LSR3);LATE EMBRYOGENESIS ABUNDANT 14 (LEA14);ARABIDOPSIS THALIANA LATE EMBRYOGENESIS ABUNDANT 14 (ATLEA14),NA,Encodes late-embryogenesis abundant protein whose mRNA levels are induced in response to wounding and light stress. Might be involved in protection against desiccation.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT1G01500,2439,NA,0,32,438,1,1,11,0.195602,0.203353,0,3.10E-05,3.10E-05,74,0.000134,0,0,0,0.001497,,,NA,Erythronate-4-phosphate dehydrogenase family protein;(source:Araport11),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
